English,Spanish,French,German,Italian
and,y,et,und,e
for,para,pour,fur,per
that,que / eso,que / cela,dass / das,che / quello
this,este / esta,ce / cette,dies / diese,questo / questa
with,con,avec,mit,con
you,tu / usted,tu / vous,du / Sie,tu / Lei
not,no,ne ... pas / non,nicht,non
are,son / estan,sont / es,sind,sono
from,de / desde,de / depuis,von / aus,da / di
your,tu / su,ton / votre,dein / Ihr,tuo / Suo
all,todo / todos,tout / tous,alles / alle,tutto / tutti
have,tener / han,avoir / ont,haben,avere / hanno
new,nuevo,nouveau / nouvelle,neu,nuovo / nuova
more,mas,plus,mehr,piu
was,fue / era,etait / fut,war,era / fu
will,sera / va a,sera,wird,sara
home,hogar / casa,maison / foyer,Zuhause / Haus,casa
can,poder / puede,pouvoir / peut,konnen / kann,potere / puo
about,sobre / acerca de,sur / a propos de,uber / etwa,su / riguardo a
page,pagina,page,Seite,pagina
has,tiene / ha,a / possede,hat,ha
search,buscar / busqueda,rechercher / recherche,suchen / Suche,cercare / ricerca
free,gratis / libre,gratuit / libre,kostenlos / frei,gratis / libero
but,pero,mais,aber,ma
our,nuestro,notre,unser,nostro
one,uno,un / une,eins / ein,uno / una
other,otro,autre,ander / andere,altro / altra
information,informacion,information,Information,informazione
time,tiempo,temps,Zeit,tempo
they,ellos / ellas,ils / elles,sie,loro
site,sitio,site,Website / Ort,sito
may,puede / mayo,peut / mai,kann / Mai,puo / maggio
what,que,quoi / que,was,che cosa / che
which,cual / que,lequel / laquelle / que,welche / welcher / welches,quale / che
their,su / sus,leur / leurs,ihr / ihre,loro
news,noticias,nouvelles / actualites,Nachrichten,notizie
out,fuera,dehors / hors,aus / draussen,fuori
use,usar / uso,utiliser / usage,benutzen / Nutzung,usare / uso
any,cualquier / alguno,tout / n importe quel / aucun,irgendein / irgendeine,qualsiasi / alcuno
there,alli / hay,la / il y a,da / dort,li / ci sono
see,ver,voir,sehen,vedere
only,solo / solamente,seulement,nur,solo / soltanto
his,su / de el,son,sein,suo
when,cuando,quand,wann / wenn,quando
contact,contacto / contactar,contact / contacter,Kontakt / kontaktieren,contatto / contattare
here,aqui,ici,hier,qui
business,negocio / empresa,entreprise / affaires,Geschaft / Unternehmen,affari / impresa
who,quien,qui,wer,chi
web,web,web,Web,web
also,tambien,aussi,auch,anche
now,ahora,maintenant,jetzt,adesso / ora
help,ayuda / ayudar,aide / aider,Hilfe / helfen,aiuto / aiutare
get,obtener / conseguir,obtenir / recevoir,bekommen / erhalten,ottenere / ricevere
view,ver / vista,voir / vue,Ansicht / ansehen,vista / vedere
online,en linea,en ligne,online,online
first,primero,premier / premiere,erste / erster,primo / prima
been,sido / estado,ete,gewesen,stato
would,haria / seria,voudrait / serait,wurde,vorrebbe / sarebbe
how,como,comment,wie,come
were,eran / estaban,etaient,waren,erano
services,servicios,services,Dienstleistungen,servizi
